,title,price,date,area-m2,owner,room,seller,sehir,ilce,mahalle
0,Hadımköy Büyükçekmecede Satılık Lüks Villa,2400000,2018-12-13 00:00:00,450.0,Sahibinden,4+2,Bireysel,istanbul,buyukcekmece,karaagac
1,142H ELFİ DEN OVAAKÇA CAMLIK VİLLALARINDA SATILIK 4+1 VİLLA,550000,2018-12-13 00:00:00,160.0,Emlakçıdan,4+1,Kurumsal,bursa,osmangazi,ovaakca
2,Bodrum Gümüşlük\u0027te Doğa İçinde Satılık Sıfır Villa,1200000,2018-12-13 00:00:00,110.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gumusluk
3,EGE EMLAK TAN ALAÇATI ÇAMLIYOLDA BAHÇELİ MÜSTAKİL VİLLA,1450000,2018-12-13 00:00:00,140.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
4,BEYSUPARK SİTESİ MÜSTAKİL SORUNSUZ GENİŞ BAHCELİ 5+2 VİLLA,2080000,2018-12-13 00:00:00,500.0,Emlakçıdan,5+2,Kurumsal,ankara,cankaya,cayyolu
5,Bodrum Bitez\u0027de Satılık Müstakil Lüks Villa,2950000,2018-12-13 00:00:00,270.0,Emlakçıdan,5+2,Kurumsal,mugla,bodrum,bitez
6,KIRANOĞLU EMLAK - ACİL... ERCAN SİTESİ 320 m2 TRİPLEKS VİLLA,3400000,2018-12-13 00:00:00,320.0,Emlakçıdan,3+2,Bireysel,istanbul,uskudar,kupluce
7,GÜRE DENİZ TARAFINDA SATILIK KAPALI OTOPARKLI 3+1 LÜKS VİLLALAR,650000,2018-12-13 00:00:00,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
8,Bahçeköy SAKLI KORU\u0027 da VİP Kupon VİLLA,45000000,2018-12-13 00:00:00,1200.0,Emlakçıdan,6+2,Kurumsal,istanbul,sariyer,bahcekoy
9,ALTINOLUK YAĞCILARDA DENİZE 50 METRE UZAKLIKTA SATILIK 5+1 VİLLA,875000,2018-12-13 00:00:00,200.0,Emlakçıdan,5+1,Kurumsal,balikesir,edremit,altinoluk
10,Altınoluk Narlı Altında Satılık Geniş Bahçeli 4+1 Müstakil Villa,850000,2018-12-13 00:00:00,185.0,Emlakçıdan,4+1,Kurumsal,balikesir,edremit,altinoluk
11,Çanakkale Küçükkuyu Satılık Lüks Ferah Tripleks Villa,750000,2018-12-13 00:00:00,165.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
12,EMİRGAN\u0027DA 1000 M2 BAHÇE İÇİNDE YÜZME HAVUZLU LÜKS VİLLA ,18500000,2018-12-13 00:00:00,600.0,Emlakçıdan,5+1,Bireysel,istanbul,sariyer,emirgan
13,SON VİLLALAR LÜKS- GÖL MANZARALI* KUĞU GÖLÜ VİLLALARI,1500000,2018-12-13 00:00:00,538.0,Emlakçıdan,6+1,Kurumsal,ankara,golbasi,karsiyaka
14,CUNDA YENİ YOLDA EMSALSİZ DENİZE SIFIR KONUMLU TRİPLEKS VİLLA  ,1600000,2018-12-13 00:00:00,300.0,Emlakçıdan,3+2,Kurumsal,balikesir,ayvalik,mithatpasa
15,"Dalyanda Denize Yakın, Site İçi, 3+1, 90m2, Manzaralı Villa",650000,2018-12-13 00:00:00,90.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,16
16,CEM EMLAK TAN FIRSAT !!!GÜREDE 4+1 MÜSTAKİL VİLLA ,375000,2018-12-13 00:00:00,180.0,Emlakçıdan,4+1,Kurumsal,balikesir,edremit,gure
17,ÇANAKKALE KÜÇÜKKUYU MÜSTAKİL TRİPLEKS VİLLA,850000,2018-12-13 00:00:00,180.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
18,PANOS\u0027TAN GÜMÜLDÜR\u0027DE HAVUZLU VE DENİZE SIFIR 4+1 YAZLIK VİLLA,1200000,2018-12-13 00:00:00,250.0,Emlakçıdan,4+1,Kurumsal,izmir,menderes,gumuldur
19,EGE EMLAK TAN ŞİFNE DE HAVUZLU SİTE İÇİNDE KOD- 045,800000,2018-12-13 00:00:00,150.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,sifne
20,YILDIZLAR YERYÜZÜNE İNDİ . YILDIZLARDAN BİRİ SİZİN OLSUN,2250000,2018-12-13 00:00:00,800.0,İnşaat Firmasından,8+2,Kurumsal,ankara,golbasi,karsiyaka
