,list_id,title,price,date,area-m2,owner,room,seller,adres
0,0-32399967,Hadımköy Büyükçekmecede Satılık Lüks Villa,2.400.000,13.12.2018,450,Sahibinden,4+2,Bireysel,/konut-satilik/istanbul-buyukcekmece-karaagac-sahibinden-villa/detay/32399967
1,49157-16438,142H ELFİ DEN OVAAKÇA CAMLIK VİLLALARINDA SATILIK 4+1 VİLLA,550.000,13.12.2018,160,Emlakçıdan,4+1,Kurumsal,/konut-satilik/bursa-osmangazi-ovaakca-merkez-emlakcidan-villa/detay/32402785
2,93505-0,Doğam Gökova Villaları,495.000,12.12.2018,100,Projeland,3+1,Projeland,https://www.hurriyetemlak.com/projeler/dogam-insaat/dogam-gokova-villalari?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4989&utm_campaign=dogam-gokova-villalari
3,91638-334,Bodrum Gümüşlük\u0027te Doğa İçinde Satılık Sıfır Villa,1.200.000,13.12.2018,110,Emlakçıdan,3+1,Kurumsal,/konut-satilik/mugla-bodrum-gumusluk-emlakcidan-villa/detay/32423802
4,2152-6616,EGE EMLAK TAN ALAÇATI ÇAMLIYOLDA BAHÇELİ MÜSTAKİL VİLLA,1.450.000,13.12.2018,140,Emlakçıdan,3+1,Kurumsal,/konut-satilik/izmir-cesme-alacati-emlakcidan-villa/detay/32401885
5,39085-3419,BEYSUPARK SİTESİ MÜSTAKİL SORUNSUZ GENİŞ BAHCELİ 5+2 VİLLA,2.080.000,13.12.2018,500,Emlakçıdan,5+2,Kurumsal,/konut-satilik/ankara-cankaya-cayyolu-emlakcidan-villa/detay/32403719
6,91638-337,Bodrum Bitez\u0027de Satılık Müstakil Lüks Villa,2.950.000,13.12.2018,270,Emlakçıdan,5+2,Kurumsal,/konut-satilik/mugla-bodrum-bitez-emlakcidan-villa/detay/32436563
7,93505-0,Oregon,650.000,12.12.2018,110,Projeland,3+1,Projeland,https://www.hurriyetemlak.com/projeler/onderler-insaat/oregon?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4992&utm_campaign=oregon
8,94540-6,KIRANOĞLU EMLAK - ACİL... ERCAN SİTESİ 320 m2 TRİPLEKS VİLLA,3.400.000,13.12.2018,320,Emlakçıdan,3+2,Bireysel,/konut-satilik/istanbul-uskudar-kupluce-emlakcidan-villa/detay/28987478
9,77162-2842,GÜRE DENİZ TARAFINDA SATILIK KAPALI OTOPARKLI 3+1 LÜKS VİLLALAR,650.000,13.12.2018,160,Emlakçıdan,3+1,Kurumsal,/konut-satilik/balikesir-edremit-gure-emlakcidan-villa/detay/32415370
10,1152-1781,Bahçeköy SAKLI KORU\u0027 da VİP Kupon VİLLA,45.000.000,13.12.2018,1200,Emlakçıdan,6+2,Kurumsal,/konut-satilik/istanbul-sariyer-bahcekoy-merkez-emlakcidan-villa/detay/18108847
11,93832-780,ALTINOLUK YAĞCILARDA DENİZE 50 METRE UZAKLIKTA SATILIK 5+1 VİLLA,875.000,13.12.2018,200,Emlakçıdan,5+1,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32402676
12,93505-0,Maison Villaları 1,2.950.000,12.12.2018,250,Projeland,5+2,Projeland,https://www.hurriyetemlak.com/projeler/onderler-insaat/maison-villalari-1?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4993&utm_campaign=maison-villalari-1
13,51109-3135,Altınoluk Narlı Altında Satılık Geniş Bahçeli 4+1 Müstakil Villa,850.000,13.12.2018,185,Emlakçıdan,4+1,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32361501
14,72154-568,Çanakkale Küçükkuyu Satılık Lüks Ferah Tripleks Villa,750.000,13.12.2018,165,Emlakçıdan,3+1,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-emlakcidan-villa/detay/31234866
15,1976-25997,EMİRGAN\u0027DA 1000 M2 BAHÇE İÇİNDE YÜZME HAVUZLU LÜKS VİLLA ,18.500.000,13.12.2018,600,Emlakçıdan,5+1,Bireysel,/konut-satilik/istanbul-sariyer-emirgan-emlakcidan-villa/detay/32319727
16,87566-29,SON VİLLALAR LÜKS- GÖL MANZARALI* KUĞU GÖLÜ VİLLALARI,1.500.000,13.12.2018,538,Emlakçıdan,6+1,Kurumsal,/konut-satilik/ankara-golbasi-karsiyaka-emlakcidan-villa/detay/31533249
17,93505-0,Maison Villaları 2,3.450.000,12.12.2018,340,Projeland,6+1,Projeland,https://www.hurriyetemlak.com/projeler/onderler-insaat/maison-villalari-2?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4994&utm_campaign=maison-villalari-2
18,24701-1867,CUNDA YENİ YOLDA EMSALSİZ DENİZE SIFIR KONUMLU TRİPLEKS VİLLA  ,1.600.000,13.12.2018,300,Emlakçıdan,3+2,Kurumsal,/konut-satilik/balikesir-ayvalik-mithatpasa-emlakcidan-villa/detay/9243390
19,41446-1065,"Dalyanda Denize Yakın, Site İçi, 3+1, 90m2, Manzaralı Villa",650.000,13.12.2018,90,Emlakçıdan,3+1,Kurumsal,/konut-satilik/izmir-cesme-16-eylul-emlakcidan-villa/detay/27603970
20,88213-651,CEM EMLAK TAN FIRSAT !!!GÜREDE 4+1 MÜSTAKİL VİLLA ,375.000,13.12.2018,180,Emlakçıdan,4+1,Kurumsal,/konut-satilik/balikesir-edremit-gure-emlakcidan-villa/detay/32336482
21,72154-626,ÇANAKKALE KÜÇÜKKUYU MÜSTAKİL TRİPLEKS VİLLA,850.000,13.12.2018,180,Emlakçıdan,3+1,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-emlakcidan-villa/detay/32429117
22,67380-576,PANOS\u0027TAN GÜMÜLDÜR\u0027DE HAVUZLU VE DENİZE SIFIR 4+1 YAZLIK VİLLA,1.200.000,13.12.2018,250,Emlakçıdan,4+1,Kurumsal,/konut-satilik/izmir-menderes-gumuldur-inonu-emlakcidan-villa/detay/29998538
23,2152-6585,EGE EMLAK TAN ŞİFNE DE HAVUZLU SİTE İÇİNDE KOD- 045,800.000,13.12.2018,150,Emlakçıdan,3+1,Kurumsal,/konut-satilik/izmir-cesme-sifne-emlakcidan-villa/detay/32353215
24,,Hadımköy Büyükçekmecede Satılık Lüks Villa,,,,,,Bireysel,/konut-satilik/istanbul-buyukcekmece-karaagac-sahibinden-villa/detay/32399967
25,,142H ELFİ DEN OVAAKÇA CAMLIK VİLLALARINDA SATILIK 4+1 VİLLA,,,,,,Kurumsal,/konut-satilik/bursa-osmangazi-ovaakca-merkez-emlakcidan-villa/detay/32402785
26,,Bodrum Gümüşlük'te Doğa İçinde Satılık Sıfır Villa,,,,,,Kurumsal,/konut-satilik/mugla-bodrum-gumusluk-emlakcidan-villa/detay/32423802
27,,EGE EMLAK TAN ALAÇATI ÇAMLIYOLDA BAHÇELİ MÜSTAKİL VİLLA,,,,,,Kurumsal,/konut-satilik/izmir-cesme-alacati-emlakcidan-villa/detay/32401885
28,,BEYSUPARK SİTESİ MÜSTAKİL SORUNSUZ GENİŞ BAHCELİ 5+2 VİLLA,,,,,,Kurumsal,/konut-satilik/ankara-cankaya-cayyolu-emlakcidan-villa/detay/32403719
29,,Bodrum Bitez'de Satılık Müstakil Lüks Villa,,,,,,Kurumsal,/konut-satilik/mugla-bodrum-bitez-emlakcidan-villa/detay/32436563
30,,KIRANOĞLU EMLAK - ACİL... ERCAN SİTESİ 320 m2 TRİPLEKS VİLLA,,,,,,Bireysel,/konut-satilik/istanbul-uskudar-kupluce-emlakcidan-villa/detay/28987478
31,,GÜRE DENİZ TARAFINDA SATILIK KAPALI OTOPARKLI 3+1 LÜKS VİLLALAR,,,,,,Kurumsal,/konut-satilik/balikesir-edremit-gure-emlakcidan-villa/detay/32415370
32,,Bahçeköy SAKLI KORU' da VİP Kupon VİLLA,,,,,,Kurumsal,/konut-satilik/istanbul-sariyer-bahcekoy-merkez-emlakcidan-villa/detay/18108847
33,,ALTINOLUK YAĞCILARDA DENİZE 50 METRE UZAKLIKTA SATILIK 5+1 VİLLA,,,,,,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32402676
34,,Altınoluk Narlı Altında Satılık Geniş Bahçeli 4+1 Müstakil Villa,,,,,,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32361501
35,,Çanakkale Küçükkuyu Satılık Lüks Ferah Tripleks Villa,,,,,,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-emlakcidan-villa/detay/31234866
36,,EMİRGAN'DA 1000 M2 BAHÇE İÇİNDE YÜZME HAVUZLU LÜKS VİLLA ,,,,,,Bireysel,/konut-satilik/istanbul-sariyer-emirgan-emlakcidan-villa/detay/32319727
37,,SON VİLLALAR LÜKS- GÖL MANZARALI* KUĞU GÖLÜ VİLLALARI,,,,,,Kurumsal,/konut-satilik/ankara-golbasi-karsiyaka-emlakcidan-villa/detay/31533249
38,,CUNDA YENİ YOLDA EMSALSİZ DENİZE SIFIR KONUMLU TRİPLEKS VİLLA  ,,,,,,Kurumsal,/konut-satilik/balikesir-ayvalik-mithatpasa-emlakcidan-villa/detay/9243390
39,,"Dalyanda Denize Yakın, Site İçi, 3+1, 90m2, Manzaralı Villa",,,,,,Kurumsal,/konut-satilik/izmir-cesme-16-eylul-emlakcidan-villa/detay/27603970
40,,CEM EMLAK TAN FIRSAT !!!GÜREDE 4+1 MÜSTAKİL VİLLA ,,,,,,Kurumsal,/konut-satilik/balikesir-edremit-gure-emlakcidan-villa/detay/32336482
41,,ÇANAKKALE KÜÇÜKKUYU MÜSTAKİL TRİPLEKS VİLLA,,,,,,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-emlakcidan-villa/detay/32429117
42,,PANOS'TAN GÜMÜLDÜR'DE HAVUZLU VE DENİZE SIFIR 4+1 YAZLIK VİLLA,,,,,,Kurumsal,/konut-satilik/izmir-menderes-gumuldur-inonu-emlakcidan-villa/detay/29998538
43,,EGE EMLAK TAN ŞİFNE DE HAVUZLU SİTE İÇİNDE KOD- 045,,,,,,Kurumsal,/konut-satilik/izmir-cesme-sifne-emlakcidan-villa/detay/32353215
44,103964-4,YILDIZLAR YERYÜZÜNE İNDİ . YILDIZLARDAN BİRİ SİZİN OLSUN,2.250.000,13.12.2018,800,İnşaat Firmasından,8+2,Kurumsal,/konut-satilik/ankara-golbasi-karsiyaka-emlakcidan-villa/detay/32409983
45,94789-174,YUVACIK YAKACIK MAH SATILIK 4+1- 291 M2 HAVUZLU SİTEDE VİLLA,520.000,13.12.2018,291,Emlakçıdan,4+1,Kurumsal,/konut-satilik/kocaeli-basiskele-yuvacik-yakacik-emlakcidan-villa/detay/32379769
46,93505-0,Aydoğdu Kıbrıs Villaları,385.000,11.12.2018,80,Projeland,2+1,Projeland,https://www.hurriyetemlak.com/projeler/aydogdun-insaat/aydogdu-kibris-villalari?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-2442&utm_campaign=aydogdu-kibris-villalari
47,72154-432,Çanakkale Küçükkuyu Satılık Müstakil Yüzme Havuzlu 3+2 Villa,575.000,13.12.2018,210,Emlakçıdan,3+2,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-mihli-emlakcidan-villa/detay/27418804
48,24701-5713,AYVADA EMLAKDAN AYVALIK DA KELEPİR DUBLEKS VİLLA  ,230.000,13.12.2018,90,Emlakçıdan,2+1,Kurumsal,/konut-satilik/balikesir-ayvalik-sahil-kent-emlakcidan-villa/detay/31832674
49,23087-2727,DİDİM AKBÜKTE SATILIK DENİZ DOĞA MANZARALI HAVUZLU VİLLA 565.000,565.000,13.12.2018,200,Emlakçıdan,3+1,Kurumsal,/konut-satilik/aydin-didim-akbuk-emlakcidan-villa/detay/32413027
50,60784-2236,Beykoz Acarkent te  5+2 Fırsat C Tipi Villa...,4.490.000,13.12.2018,450,Emlakçıdan,5+2,Kurumsal,/konut-satilik/istanbul-beykoz-acarlar-emlakcidan-villa/detay/28454710
51,93505-0,Ekosilivri,403.762,11.12.2018,92,Projeland,2+1,Projeland,https://www.hurriyetemlak.com/projeler/rees-network-rees-network/ekosilivri-rees-network-rees-network?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-1701&utm_campaign=ekosilivri-rees-network-rees-network
52,72154-439,Çanakkale Küçükkuyu Satılık 3+1 Ayrı Mutfak Lüks Trıbleks,525.000,13.12.2018,180,Emlakçıdan,3+1,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-mihli-emlakcidan-villa/detay/27516413
53,94581-299,KIRKPINAR\u0027DA SİTE İÇERİSİNDE MÜSTAKİL HAVUZLU SATILIK VİLLA,2.220.000,13.12.2018,225,Emlakçıdan,4+1,Kurumsal,/konut-satilik/sakarya-sapanca-rustempasa-emlakcidan-villa/detay/32418601
54,93832-777,ALTINOLUK NARLIDA SATILIK DENİZE 150 METRE SIFIR VİLLA,440.000,13.12.2018,120,Emlakçıdan,3+1,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32399187
55,2152-6429, EGE EMLAKTAN ALAÇATIDA MÜSTAKİL HAVUZLU SIFIR VİLLA KOD-012,1.400.000,13.12.2018,130,Emlakçıdan,3+1,Kurumsal,/konut-satilik/izmir-cesme-alacati-emlakcidan-villa/detay/31599441
56,93505-0,Doğa Sitesi,425.000,11.12.2018,175,Projeland,4+1,Projeland,https://www.hurriyetemlak.com/projeler/solmaz-grup-insaat/doga-sitesi2?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-4958&utm_campaign=doga-sitesi2
57,91113-6,"BEYSUVERA VİLLALARI. MÜSTAKİL, ANGORA SİTE İÇERİSİNDE",4.250.000,13.12.2018,454,İnşaat Firmasından,6+1,Kurumsal,/konut-satilik/ankara-cankaya-mutlukent-emlakcidan-villa/detay/28932858
58,2152-6527,EGE EMLAKTAN DALYANDA HAVUZLU SIFIR MÜSTAKİL VİLLA KOD-096,3.000.000,13.12.2018,350,Emlakçıdan,5+2,Kurumsal,/konut-satilik/izmir-cesme-dalyan-emlakcidan-villa/detay/32092879
59,92090-2071,Beylikdüzü\u0027nde Havuzlu Site İçerisi\u0027nde 6+1 Satılık Villa,875.000,13.12.2018,260,Emlakçıdan,6+1,Kurumsal,/konut-satilik/istanbul-beylikduzu-gurpinar-emlakcidan-villa/detay/31884732
60,9636-12246,BEYKOZ ÇUBUKLU VADİ KONAKLARİNDA D TİPİ EN İYİ KONUM acarkent,9.500.000,13.12.2018,400,Emlakçıdan,4+2,Kurumsal,/konut-satilik/istanbul-beykoz-acarlar-emlakcidan-villa/detay/32400255
61,93505-0,Reisköy Çeşme,450.000,11.12.2018,92,Projeland,2+1,Projeland,https://www.hurriyetemlak.com/projeler/alacati-dizayn-insaat/reiskoy-cesme?utm_source=hurriyet_emlak&utm_medium=he_newsearch&utm_content=flat-plan-id-3606&utm_campaign=reiskoy-cesme
62,107257-2,Çatalca Elbasan\u0027da Satılık Doğalgazlı Ve Havuzlu Müstakil Villa,1.300.000,13.12.2018,1700,Emlakçıdan,4+1,Kurumsal,/konut-satilik/istanbul-catalca-elbasan-emlakcidan-villa/detay/32357239
63,72154-206,Çanakkale Küçükkuyu Satılık Bahçeli Denize Sıfır Müstakil Villa ,3.000.000,13.12.2018,220,Emlakçıdan,4+1,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-emlakcidan-villa/detay/21994763
64,87327-257,"Sarıyer,Zekeriyaköyde Butik Sitede Satılık Lüks İkiz Villa..",2.900.000,13.12.2018,350,Emlakçıdan,5+1,Kurumsal,/konut-satilik/istanbul-sariyer-uskumrukoy-emlakcidan-villa/detay/30680491
65,97600-1024,HAKAN\u0027DAN KÜÇÜKKUYU DA*DAİRE FİYATINA*ACİL SATILIK KELEPİR VİLLA,385.000,13.12.2018,150,Emlakçıdan,3+1,Kurumsal,/konut-satilik/canakkale-ayvacik-fatih-emlakcidan-villa/detay/32312332
66,88795-348,AYVALIK ŞİRİNKENT\u0027TE SATILIK SÜPER LÜKS VİLLA,850.000,13.12.2018,375,Emlakçıdan,3+1,Kurumsal,/konut-satilik/balikesir-ayvalik-sahil-kent-emlakcidan-villa/detay/28882633
67,2152-6531,EGE EMLAK TAN RESİDERE DE HAVUZLU SIFIR MÜSTAKİL TAŞ VİLLA ,1.000.000,13.12.2018,120,Emlakçıdan,3+1,Kurumsal,/konut-satilik/izmir-cesme-reisdere-emlakcidan-villa/detay/32105410
68,,YILDIZLAR YERYÜZÜNE İNDİ . YILDIZLARDAN BİRİ SİZİN OLSUN,,,,,,Kurumsal,/konut-satilik/ankara-golbasi-karsiyaka-emlakcidan-villa/detay/32409983
69,,YUVACIK YAKACIK MAH SATILIK 4+1- 291 M2 HAVUZLU SİTEDE VİLLA,,,,,,Kurumsal,/konut-satilik/kocaeli-basiskele-yuvacik-yakacik-emlakcidan-villa/detay/32379769
70,,Çanakkale Küçükkuyu Satılık Müstakil Yüzme Havuzlu 3+2 Villa,,,,,,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-mihli-emlakcidan-villa/detay/27418804
71,,AYVADA EMLAKDAN AYVALIK DA KELEPİR DUBLEKS VİLLA  ,,,,,,Kurumsal,/konut-satilik/balikesir-ayvalik-sahil-kent-emlakcidan-villa/detay/31832674
72,,DİDİM AKBÜKTE SATILIK DENİZ DOĞA MANZARALI HAVUZLU VİLLA 565.000,,,,,,Kurumsal,/konut-satilik/aydin-didim-akbuk-emlakcidan-villa/detay/32413027
73,,Beykoz Acarkent te  5+2 Fırsat C Tipi Villa...,,,,,,Kurumsal,/konut-satilik/istanbul-beykoz-acarlar-emlakcidan-villa/detay/28454710
74,,Çanakkale Küçükkuyu Satılık 3+1 Ayrı Mutfak Lüks Trıbleks,,,,,,Kurumsal,/konut-satilik/canakkale-ayvacik-kucukkuyu-mihli-emlakcidan-villa/detay/27516413
75,,KIRKPINAR'DA SİTE İÇERİSİNDE MÜSTAKİL HAVUZLU SATILIK VİLLA,,,,,,Kurumsal,/konut-satilik/sakarya-sapanca-rustempasa-emlakcidan-villa/detay/32418601
76,,ALTINOLUK NARLIDA SATILIK DENİZE 150 METRE SIFIR VİLLA,,,,,,Kurumsal,/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/32399187
