,title,price,date,area-m2,owner,room,seller,sehir,ilce,mahalle
0,Hadımköy Büyükçekmecede Satılık Lüks Villa,2.400.000,13.12.2018,450.0,Sahibinden,4+2,Bireysel,istanbul,buyukcekmece,karaagac
1,142H ELFİ DEN OVAAKÇA CAMLIK VİLLALARINDA SATILIK 4+1 VİLLA,550.000,13.12.2018,160.0,Emlakçıdan,4+1,Kurumsal,bursa,osmangazi,ovaakca
2,Bodrum Gümüşlük\u0027te Doğa İçinde Satılık Sıfır Villa,1.200.000,13.12.2018,110.0,Emlakçıdan,3+1,Kurumsal,mugla,bodrum,gumusluk
3,EGE EMLAK TAN ALAÇATI ÇAMLIYOLDA BAHÇELİ MÜSTAKİL VİLLA,1.450.000,13.12.2018,140.0,Emlakçıdan,3+1,Kurumsal,izmir,cesme,alacati
4,BEYSUPARK SİTESİ MÜSTAKİL SORUNSUZ GENİŞ BAHCELİ 5+2 VİLLA,2.080.000,13.12.2018,500.0,Emlakçıdan,5+2,Kurumsal,ankara,cankaya,cayyolu
5,Bodrum Bitez\u0027de Satılık Müstakil Lüks Villa,2.950.000,13.12.2018,270.0,Emlakçıdan,5+2,Kurumsal,mugla,bodrum,bitez
6,KIRANOĞLU EMLAK - ACİL... ERCAN SİTESİ 320 m2 TRİPLEKS VİLLA,3.400.000,13.12.2018,320.0,Emlakçıdan,3+2,Bireysel,istanbul,uskudar,kupluce
7,GÜRE DENİZ TARAFINDA SATILIK KAPALI OTOPARKLI 3+1 LÜKS VİLLALAR,650.000,13.12.2018,160.0,Emlakçıdan,3+1,Kurumsal,balikesir,edremit,gure
8,Bahçeköy SAKLI KORU\u0027 da VİP Kupon VİLLA,45.000.000,13.12.2018,1200.0,Emlakçıdan,6+2,Kurumsal,istanbul,sariyer,bahcekoy
9,ALTINOLUK YAĞCILARDA DENİZE 50 METRE UZAKLIKTA SATILIK 5+1 VİLLA,875.000,13.12.2018,200.0,Emlakçıdan,5+1,Kurumsal,balikesir,edremit,altinoluk
10,Altınoluk Narlı Altında Satılık Geniş Bahçeli 4+1 Müstakil Villa,850.000,13.12.2018,185.0,Emlakçıdan,4+1,Kurumsal,balikesir,edremit,altinoluk
11,Çanakkale Küçükkuyu Satılık Lüks Ferah Tripleks Villa,750.000,13.12.2018,165.0,Emlakçıdan,3+1,Kurumsal,canakkale,ayvacik,kucukkuyu
12,EMİRGAN\u0027DA 1000 M2 BAHÇE İÇİNDE YÜZME HAVUZLU LÜKS VİLLA ,18.500.000,13.12.2018,600.0,Emlakçıdan,5+1,Bireysel,istanbul,sariyer,emirgan
